Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,SDR,NBA,C,18,NA,100,21,48,0.438,11,20,0.55,NA,NA,30,5,NA,NA,NA,22,53
1971-72,23,TOT,NBA,C,75,NA,1826,181,486,0.372,76,119,0.639,NA,NA,593,100,NA,NA,NA,261,438
1971-72,23,HOU,NBA,C,25,NA,355,38,115,0.33,12,24,0.5,NA,NA,122,22,NA,NA,NA,47,88
1971-72,23,MIL,NBA,C,50,NA,1471,143,371,0.385,64,95,0.674,NA,NA,471,78,NA,NA,NA,214,350
1972-73,24,MIL,NBA,PF,67,NA,2094,265,575,0.461,83,126,0.659,NA,NA,644,123,NA,NA,NA,246,613
1973-74,25,MIL,NBA,PF,81,NA,2386,325,729,0.446,78,134,0.582,242,461,703,183,104,97,NA,301,728
1974-75,26,PHO,NBA,PF,79,NA,2688,437,917,0.477,184,256,0.719,347,593,940,186,108,78,NA,288,1058
1975-76,27,PHO,NBA,PF,71,NA,2353,386,776,0.497,175,239,0.732,197,487,684,182,84,66,NA,269,947
1976-77,28,PHO,NBA,PF,44,NA,1391,179,414,0.432,112,142,0.789,149,246,395,79,49,28,NA,163,470
1977-78,29,PHO,NBA,PF,45,NA,818,110,243,0.453,51,65,0.785,87,163,250,48,34,22,63,120,271
Career,NA,,NBA,,480,NA,13656,1904,4188,0.455,770,1101,0.699,1022,1950,4239,906,379,291,63,1670,4578
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHO,NBA,,239,NA,7250,1112,2350,0.473,522,702,0.744,780,1489,2269,495,275,194,63,840,2746
3 seasons,NA,MIL,NBA,,198,NA,5951,733,1675,0.438,225,355,0.634,242,461,1818,384,104,97,NA,761,1691
2 seasons,NA,"SDR,HOU",NBA,,43,NA,455,59,163,0.362,23,44,0.523,NA,NA,152,27,NA,NA,NA,69,141
