Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Willie Anderson,,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,NA
Bryant Stith,91.9,6.8,5.6,5.2,4.8,3,1.6,1.6,0.7,0.5,-0.3
Reggie Jackson,86.9,6.9,5,4.9,4.9,2.5,2,1.9,0.1,NA,NA
Patty Mills,86.9,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0
Mahmoud Abdul-Rauf,86.6,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA
Larry Brown,85.3,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA,NA
Bob Sura,84.3,5.2,4.9,4.8,4.6,4.1,1.8,1.6,0.7,0.4,0.1
Delonte West,84.2,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA
Dick Garmaker,84.0,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA,NA
Dave Twardzik,84.0,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA
Paul Neumann,83.7,6.5,5.8,4.6,4.2,4,3.2,NA,NA,NA,NA
