Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Charles Davis,,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA
Kevin Séraphin,79.9,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA,NA
Michael Ruffin,79.2,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Anthony Randolph,77.3,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA
Reggie Slater,77.0,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1,NA
Darvin Ham,76.9,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA
Bob Brannum,76.4,2,1.6,1.1,0.8,0,NA,NA,NA,NA
Rory White,76.4,2.6,1.5,1,1,0.4,NA,NA,NA,NA
Ike Diogu,75.6,2.6,1.5,1,0.7,0.7,0,NA,NA,NA
Charles Shackleford,75.6,2.7,1.5,0.9,0.8,0.8,0.7,NA,NA,NA
John Wallace,75.2,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA
