Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Kevin Martin,,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1
Ron Boone,90.8,9.7,8.3,8.1,6.2,5.9,5.8,5.1,4,2.8,2.6,1,0.4
Billy Knight,90.6,10.7,8.4,8.3,7.1,6,5.8,5.8,4.3,3.7,3.4,0.4,NA
Dale Ellis,90.5,10.8,9.3,9,7.6,6.4,6.4,4.8,3.4,3.2,2.4,1.6,1.5
Fat Lever,90.5,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0,NA
Larry Costello,90.1,9.2,8.6,8.5,8,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2
Jeff Mullins,89.7,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
José Calderón,89.6,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,0.9,0.9,0.3
Doug Christie,88.9,8.9,8.7,8.6,7,5.7,5.1,4.2,4,1.4,1.4,0.1,-0.3
Doc Rivers,88.6,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4,3.9,2,1.5
Walter Davis,88.5,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.5,2.7,0.6
