,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,21,SAC,NBA,PG,45,455,25%,73%,2%,,,+3.0,+0.6,7,8,14,5,20,0,49,2,9
2005-06,22,SAC,NBA,SG,72,1913,5%,80%,15%,,,+0.9,-1.6,35,27,43,8,87,28,220,17,34
2006-07,23,SAC,NBA,SG,80,2818,12%,85%,3%,,,-3.3,-5.0,44,39,71,16,225,32,406,41,52
2007-08,24,SAC,NBA,SG,61,2216,17%,79%,3%,,,-0.7,+3.7,42,41,61,26,221,23,297,34,51
2008-09,25,SAC,NBA,SG,51,1947,5%,80%,16%,,,-8.1,+2.6,62,35,44,16,213,24,325,33,37
2009-10,26,TOT,NBA,SG,46,1633,26%,70%,4%,,,-4.8,-2.8,35,30,42,5,147,19,265,30,38
2009-10,26,SAC,NBA,SG,22,774,55%,40%,5%,,,-11.6,-8.7,16,12,24,0,69,9,131,16,17
2009-10,26,HOU,NBA,SG,24,859,,98%,2%,,,+1.3,+2.2,19,18,18,5,78,10,134,14,21
2010-11,27,HOU,NBA,SG,80,2603,,81%,20%,,,+2.9,+2.2,63,57,56,19,251,17,446,49,63
2011-12,28,HOU,NBA,SG,40,1264,,76%,24%,1%,,-0.8,-1.9,24,18,30,6,64,3,254,9,21
2012-13,29,OKC,NBA,SG,77,2136,,73%,26%,1%,,+10.4,+1.4,30,30,66,10,98,7,238,14,32
2013-14,30,MIN,NBA,SG,68,2177,,98%,2%,,,+3.2,+1.5,38,36,52,10,123,11,289,23,53
2014-15,31,MIN,NBA,SG,39,1302,,92%,8%,,,-10.5,-1.3,28,22,32,10,68,7,190,15,24
2015-16,32,TOT,NBA,SG,55,1095,,81%,18%,,,-5.8,-11.4,10,27,20,7,68,4,133,9,21
2015-16,32,MIN,NBA,SG,39,834,,95%,5%,,,-5.4,-2.6,10,18,17,6,57,3,104,5,15
2015-16,32,SAS,NBA,SG,16,261,,36%,62%,2%,,-7.2,-20.0,0,9,3,1,11,1,29,4,6
Career,,,NBA,,714,21559,7%,81%,12%,,,-0.7,-0.6,418,370,531,138,1585,175,3112,276,435
,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,SAC,NBA,,331,10123,14%,78%,8%,,,-3.2,-1.0,206,162,257,71,835,116,1428,143,200
3 seasons,,MIN,NBA,,146,4313,,95%,5%,,,-2.6,-0.1,76,76,101,26,248,21,583,43,92
3 seasons,,HOU,NBA,,144,4726,,82%,17%,,,+1.6,+1.1,106,93,104,30,393,30,834,72,105
1 season,,OKC,NBA,,77,2136,,73%,26%,1%,,+10.4,+1.4,30,30,66,10,98,7,238,14,32
1 season,,SAS,NBA,,16,261,,36%,62%,2%,,-7.2,-20.0,0,9,3,1,11,1,29,4,6
