Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Marquis Daniels,,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA,NA,NA
Frank Johnson,88.7,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,NA,NA,NA
John Battle,88.6,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA,NA,NA
Dudley Bradley,88.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA,NA
Devean George,86.2,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3,NA,NA
Wayne Ellington,85.2,4.5,3.3,3.2,2.6,1.2,0.8,0.8,0.7,0.4,0.3,NA,NA,NA
Jim King,85.2,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA,NA,NA
Doug West,85.1,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1,NA
Keyon Dooling,84.5,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0
Wali Jones,84.4,4,4,2.5,1.3,1.2,1.1,0.8,0.5,0.3,0.3,0.2,NA,NA
Tony Delk,84.1,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4,NA,NA,NA
