Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Marquis Daniels,,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1
Frank Johnson,88.7,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
John Battle,88.6,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2
Dudley Bradley,88.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA
Shaun Livingston,86.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Wayne Ellington,85.2,4.5,3.3,3.2,2.6,1.2,0.8,0.8,0.7,0.4,0.3
Jim King,85.2,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
Wali Jones,85.0,4,4,2.5,1.3,1.2,1.1,0.8,0.5,0.3,0.3
Tony Delk,84.1,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4
Doug West,83.3,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.4,0.1,-0.1
Jordan Farmar,83.2,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0
