Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Randy Breuer,,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0
Mikki Moore,90.0,5.7,4.6,2.8,2.6,2.2,2.1,1,0.6,0.1,0.1,0.1
Dennis Awtrey,88.6,5.2,5,3.1,2.1,1.8,1.4,1,1,0.7,0.6,0.6
Spencer Hawes,88.0,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA
Felton Spencer,87.2,5.6,4.7,2.4,2,2,1.3,1.1,0.9,0.5,0.4,0.3
Kevin Kunnert,86.4,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA
Ömer Aşık,85.9,5.5,5,2.7,2.6,2.4,1.7,1,-0.1,NA,NA,NA
Dale Schlueter,85.7,6.3,4.4,3,2,1.6,1.2,1.1,1.1,0.1,0,NA
Chris Kaman,85.3,6.1,3.6,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0
Bob Ferry,85.2,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0,NA
Oliver Miller,85.2,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0,NA,NA
