Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Phil Jordon,,5.2,1.9,1.5,0.7,0.6,0,-0.2
Darrall Imhoff,84.8,5,2.4,2.1,0.7,0.7,0,-0.6
Joel Przybilla,81.4,4.7,2.3,1.9,0.6,0.3,0.1,0.1
Larry Sanders,79.5,6,1.6,1,1,0.7,0,NA
Lee Knorek,77.6,5.1,2.5,1.7,0,NA,NA,NA
Jamie Feick,75.1,4.8,2.2,0.9,0.2,0.2,NA,NA
Ed Johnson,75.0,5.1,2.4,1,NA,NA,NA,NA
Walt Wesley,73.0,4.1,1.7,1.2,1.2,0.7,-0.3,-0.4
Craig Raymond,71.5,4.7,1.7,1,0,0,NA,NA
Todd MacCulloch,71.4,5.6,2.5,2.2,1.7,NA,NA,NA
Carlos Rogers,71.2,4,2.2,2,0.9,0.9,0.5,0
