Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Phil Jordon,,5.2,1.9,1.5,0.7,0.6,0,-0.2
Larry Sanders,79.5,6,1.6,1,1,0.7,0,NA
Lee Knorek,77.6,5.1,2.5,1.7,0,NA,NA,NA
Jamie Feick,75.1,4.8,2.2,0.9,0.2,0.2,NA,NA
Ed Johnson,75.0,5.1,2.4,1,NA,NA,NA,NA
Craig Raymond,71.5,4.7,1.7,1,0,0,NA,NA
Todd MacCulloch,71.4,5.6,2.5,2.2,1.7,NA,NA,NA
Željko Rebrača,69.0,3.3,2.4,1.3,0.7,0.5,NA,NA
Melvin Turpin,68.6,6,3.1,2.1,1.8,0.8,NA,NA
Fabricio Oberto,68.3,6.1,4.1,1.7,1.1,0.6,0,NA
Miles Plumlee,68.3,4,2.6,2.2,0.9,0.5,0.5,0
