Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,27,NOB,ABA,PG,78,NA,2807,330,901,0.366,19,89,0.213,311,812,0.383,0.377,366,450,0.813,NA,NA,249,506,NA,355,220,1045
1968-69,28,OAK,ABA,PG,77,NA,2381,308,706,0.436,8,35,0.229,300,671,0.447,0.442,301,379,0.794,62,173,235,544,NA,331,230,925
1969-70,29,WSA,ABA,PG,82,NA,2766,376,854,0.44,10,39,0.256,366,815,0.449,0.446,362,439,0.825,52,194,246,580,NA,356,257,1124
1970-71,30,TOT,ABA,PG,63,NA,1343,127,340,0.374,6,21,0.286,121,319,0.379,0.382,186,225,0.827,24,85,109,330,NA,188,145,446
1970-71,30,VIR,ABA,PG,29,NA,530,42,104,0.404,1,2,0.5,41,102,0.402,0.409,74,89,0.831,13,34,47,122,NA,73,49,159
1970-71,30,DNR,ABA,PG,34,NA,813,85,236,0.36,5,19,0.263,80,217,0.369,0.371,112,136,0.824,11,51,62,208,NA,115,96,287
1971-72,31,DNR,ABA,PG,76,NA,2012,243,556,0.437,5,25,0.2,238,531,0.448,0.442,198,244,0.811,53,113,166,549,NA,217,207,689
Career,NA,,ABA,,376,NA,11309,1384,3357,0.412,48,209,0.23,1336,3148,0.424,0.419,1413,1737,0.813,191,565,1005,2509,NA,1447,1059,4229
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA,VIR",ABA,,188,NA,5677,726,1664,0.436,19,76,0.25,707,1588,0.445,0.442,737,907,0.813,127,401,528,1246,NA,760,536,2208
2 seasons,NA,DNR,ABA,,110,NA,2825,328,792,0.414,10,44,0.227,318,748,0.425,0.42,310,380,0.816,64,164,228,757,NA,332,303,976
1 season,NA,NOB,ABA,,78,NA,2807,330,901,0.366,19,89,0.213,311,812,0.383,0.377,366,450,0.813,NA,NA,249,506,NA,355,220,1045
