Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,27,NOB,ABA,PG,78,NA,2807,4.2,11.6,0.366,0.2,1.1,0.213,4,10.4,0.383,4.7,5.8,0.813,NA,NA,3.2,6.5,NA,4.6,2.8,13.4
1968-69,28,OAK,ABA,PG,77,NA,2381,4.7,10.7,0.436,0.1,0.5,0.229,4.5,10.1,0.447,4.6,5.7,0.794,0.9,2.6,3.6,8.2,NA,5,3.5,14
1969-70,29,WSA,ABA,PG,82,NA,2766,4.9,11.1,0.44,0.1,0.5,0.256,4.8,10.6,0.449,4.7,5.7,0.825,0.7,2.5,3.2,7.5,NA,4.6,3.3,14.6
1970-71,30,TOT,ABA,PG,63,NA,1343,3.4,9.1,0.374,0.2,0.6,0.286,3.2,8.6,0.379,5,6,0.827,0.6,2.3,2.9,8.8,NA,5,3.9,12
1970-71,30,VIR,ABA,PG,29,NA,530,2.9,7.1,0.404,0.1,0.1,0.5,2.8,6.9,0.402,5,6,0.831,0.9,2.3,3.2,8.3,NA,5,3.3,10.8
1970-71,30,DNR,ABA,PG,34,NA,813,3.8,10.5,0.36,0.2,0.8,0.263,3.5,9.6,0.369,5,6,0.824,0.5,2.3,2.7,9.2,NA,5.1,4.3,12.7
1971-72,31,DNR,ABA,PG,76,NA,2012,4.3,9.9,0.437,0.1,0.4,0.2,4.3,9.5,0.448,3.5,4.4,0.811,0.9,2,3,9.8,NA,3.9,3.7,12.3
Career,NA,,ABA,,376,NA,11309,4.4,10.7,0.412,0.2,0.7,0.23,4.3,10,0.424,4.5,5.5,0.813,0.8,2.4,3.2,8,NA,4.6,3.4,13.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA,VIR",ABA,,188,NA,5677,4.6,10.6,0.436,0.1,0.5,0.25,4.5,10.1,0.445,4.7,5.8,0.813,0.8,2.5,3.3,7.9,NA,4.8,3.4,14
2 seasons,NA,DNR,ABA,,110,NA,2825,4.2,10.1,0.414,0.1,0.6,0.227,4.1,9.5,0.425,4,4.8,0.816,0.8,2.1,2.9,9.6,NA,4.2,3.9,12.4
1 season,NA,NOB,ABA,,78,NA,2807,4.2,11.6,0.366,0.2,1.1,0.213,4,10.4,0.383,4.7,5.8,0.813,NA,NA,3.2,6.5,NA,4.6,2.8,13.4
