Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,27,NOB,ABA,PG,17,696,14.2,0.534,0.085,0.575,NA,NA,3.7,26.8,NA,22.5,18.3,NA,1.3,1,2.3,0.162
1968-69,28,OAK,ABA,PG,16,534,12.5,0.527,0.017,0.52,NA,NA,4.1,20.5,NA,21.7,17.2,NA,0.8,0.8,1.6,0.142
1969-70,29,WSA,ABA,PG,7,269,13.7,0.551,0.068,0.466,NA,NA,6.1,28.8,NA,22.1,15.8,NA,0.4,-0.2,0.2,0.027
1971-72,31,DNR,ABA,PG,7,211,11.5,0.537,0.06,0.48,NA,NA,2.2,24.2,NA,18.8,14.7,NA,0.2,0.4,0.6,0.143
Career,NA,,ABA,,47,1710,13.3,0.534,0.057,0.531,NA,NA,4,24.8,NA,21.8,17.1,NA,2.7,2,4.7,0.132
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"OAK,WSA",ABA,,23,803,12.9,0.534,0.033,0.504,NA,NA,4.8,23.3,NA,21.8,16.7,NA,1.1,0.6,1.7,0.104
1 season,NA,NOB,ABA,,17,696,14.2,0.534,0.085,0.575,NA,NA,3.7,26.8,NA,22.5,18.3,NA,1.3,1,2.3,0.162
1 season,NA,DNR,ABA,,7,211,11.5,0.537,0.06,0.48,NA,NA,2.2,24.2,NA,18.8,14.7,NA,0.2,0.4,0.6,0.143
