Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,27,NOB,ABA,PG,78,2807,10.5,0.475,0.099,0.499,NA,NA,3.8,24.5,NA,24.4,19,NA,2.6,4,6.6,0.112
1968-69,28,OAK,ABA,PG,77,2381,11.6,0.53,0.05,0.537,NA,NA,4.4,27.5,NA,27.5,17.3,NA,3.3,2.5,5.8,0.116
1969-70,29,WSA,ABA,PG,82,2766,12.1,0.537,0.046,0.514,NA,NA,3.9,26.9,NA,25.4,18,NA,4.1,1,5.1,0.088
1970-71,30,TOT,ABA,PG,63,1343,9.2,0.508,0.062,0.662,NA,NA,3.6,28.5,NA,30,16.4,NA,0.9,1.5,2.4,0.086
1970-71,30,VIR,ABA,PG,29,530,9,0.555,0.019,0.856,NA,NA,4.1,25.4,NA,33.8,14.4,NA,0.6,0.5,1.1,0.104
1970-71,30,DNR,ABA,PG,34,813,9.3,0.485,0.081,0.576,NA,NA,3.3,30.5,NA,28,17.7,NA,0.3,1,1.3,0.074
1971-72,31,DNR,ABA,PG,76,2012,12.6,0.519,0.045,0.439,2.3,5.2,3.7,34.5,NA,24.6,16.4,NA,1.8,3.2,5,0.118
Career,NA,,ABA,,376,11309,11.4,0.513,0.062,0.517,2.3,5.2,3.9,28,NA,26,17.6,NA,12.7,12.1,24.8,0.105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA,VIR",ABA,,188,5677,11.6,0.535,0.046,0.545,NA,NA,4.1,27,NA,26.9,17.4,NA,8,4,12,0.101
2 seasons,NA,DNR,ABA,,110,2825,11.7,0.509,0.056,0.48,2.3,5.2,3.6,33.4,NA,25.7,16.8,NA,2.1,4.1,6.2,0.106
1 season,NA,NOB,ABA,,78,2807,10.5,0.475,0.099,0.499,NA,NA,3.8,24.5,NA,24.4,19,NA,2.6,4,6.6,0.112
