Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Larry Brown,,6.6,5.8,5.1,5,2.4
Mitch Richmond,93.3,7.1,5.6,5.2,4.9,3.1
Jameer Nelson,91.8,6,5.6,4.9,4,2.5
Mike Bibby,90.7,6.3,5.6,5.6,5.3,1.3
Belus Smawley,89.9,5.6,5.3,5,4.5,3
Jeff Malone,89.6,6.1,5.7,5.6,5.6,1.3
Jason Richardson,89.4,7.3,5.7,5.2,3.7,2.9
Josh Childress,88.9,7.6,5.7,5.5,4.6,1.4
John Lucas,88.8,7.9,5.9,5.2,4.8,1.3
Rod Strickland,88.8,7.4,5.7,5.2,4.3,3.7
Dick McGuire,88.7,6.6,6.3,5.3,4.7,4.5
