,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,27,NOB,ABA,,11,,2,,,,13,16,,,,,,,,31
1968-69,28,OAK,ABA,,8,,0,,,,11,11,,,,,,,,25
1969-70,29,WSA,ABA,,6,,1,,,,8,9,,,,,,,,17
1970-71,30,TOT,ABA,,3,10,0,0,3,10,1,1,0,2,2,2,0,3,1,7
1970-71,30,DNR,ABA,,3,10,0,0,3,10,1,1,0,2,2,2,0,3,1,7
1971-72,31,DNR,ABA,,5,,0,,,,5,6,,,,,,,,15
Career,,,,,11,,2,,,,13,16,,,,,,,,31
2 Seasons,,"OAK,WSA",ABA,,8,,1,,,,11,11,,,,,,,,25
1 Season,,NOB,ABA,,11,,2,,,,13,16,,,,,,,,31
2 Seasons,,DNR,ABA,,5,,0,,,,5,6,,,,,,,,15
