,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,27,NOB,ABA,,11,,2,,,,13,17,,,,,,,,30
1968-69,28,OAK,ABA,,9,,3,,,,13,13,,,,,,,,22
1969-70,29,WSA,ABA,,11,,2,,,,14,17,,,,,,,,34
1970-71,30,TOT,ABA,,8,,1,,,,10,10,,,,,,,,22
1970-71,30,VIR,ABA,,4,,1,,,,7,10,,,,,,,,14
1970-71,30,DNR,ABA,,8,,1,,,,10,10,,,,,,,,22
1971-72,31,DNR,ABA,,9,,1,,,,11,12,,,,,,,,23
Career,,,,,11,,3,,,,14,17,,,,,,,,34
3 Seasons,,"OAK,VIR,WSA",ABA,,11,,3,,,,14,17,,,,,,,,34
2 Seasons,,DNR,ABA,,9,,1,,,,11,12,,,,,,,,23
1 Season,,NOB,ABA,,11,,2,,,,13,17,,,,,,,,30
