Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Calvin Garrett,,1.4,0.6,0.6,0
Dickey Simpkins,86.5,1.2,0.7,0.6,0.1
Patrick McFarland,82.6,1.3,0.7,0.4,NA
Reggie Slater,81.8,1.5,0.8,0.4,-0.1
Art Spector,81.0,1.4,1,0.6,-0.2
Jeff Turner,79.6,1.2,0.8,0.6,-0.2
Lonny Baxter,77.4,1.5,0.9,0.7,-0.2
Yi Jianlian,77.2,1.3,0.7,0.7,0.4
Tremaine Fowlkes,77.0,1.2,0.5,0.4,0
James Michael McAdoo,76.7,1.1,0.8,0.5,0
Jarell Martin,76.0,1.3,0.8,0.6,0.5
