Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Calvin Garrett,,1.4,0.6,0.6,0,NA
Patrick McFarland,82.6,1.3,0.7,0.4,NA,NA
Art Spector,81.0,1.4,1,0.6,-0.2,NA
Lonny Baxter,77.4,1.5,0.9,0.7,-0.2,NA
Tremaine Fowlkes,77.0,1.2,0.5,0.4,0,NA
Yi Jianlian,76.8,1.3,0.7,0.7,0.4,0
James Michael McAdoo,76.7,1.1,0.8,0.5,0,NA
Jarell Martin,76.0,1.3,0.8,0.6,0.5,NA
Tom Kozelko,75.2,1,0.7,0.7,NA,NA
Jerome Lane,73.6,1.2,0.6,0.5,0.1,-0.2
Ben McDonald,73.3,1.3,0.7,0.3,0.2,NA
