Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ray Williams,,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4,NA
Doug Collins,86.2,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA,NA
Phil Chenier,84.9,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1,NA
Steve Jones,83.0,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA
B.J. Armstrong,81.9,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7,0.4
John Wall,81.6,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA
Lucius Allen,81.5,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,NA
Reggie Lewis,80.7,9.1,8.3,7.5,6.9,6.7,0.4,NA,NA,NA,NA,NA
Micheal Ray Richardson,80.6,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA
Glen Combs,80.3,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA,NA
George Thompson,80.1,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA,NA
