Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Franklin Edwards,,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3,NA,NA
Ben McLemore,75.7,2.5,0.8,0.5,0.4,0.3,0.2,NA,NA,NA
Glenn Robinson,74.4,2.5,0.8,0.7,0.6,0.1,NA,NA,NA,NA
Harold Ellis,73.1,2.8,0.9,0.9,NA,NA,NA,NA,NA,NA
Negele Knight,69.7,3.2,0.6,0.5,0.1,-0.1,-0.2,NA,NA,NA
Mike Holton,64.8,2.3,1.3,0.8,0.3,0.2,-0.2,NA,NA,NA
Robert Smith,64.6,2.9,1.4,0.8,0.6,0,0,0,NA,NA
Pete Myers,63.9,3,1.3,0.6,0.5,0.3,0.1,0,0,-0.1
Ian Clark,63.3,2.3,1.1,0.9,0.2,-0.1,-0.1,NA,NA,NA
A.J. Price,62.6,2.2,1.2,0.7,0.3,0.3,0,NA,NA,NA
Chris Quinn,61.8,2.6,2.1,0.6,0.1,0.1,-0.2,NA,NA,NA
