Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sedric Toney,,0.3,0,0,-0.1,-0.2
Gerald Madkins,-51.4,0.3,0.1,0,NA,NA
Andre Barrett,-57.5,0.4,0,0,-0.1,NA
R.J. Hunter,-60.6,0.3,0.1,0,0,NA
Jaren Jackson,-62.9,0.4,0.1,0,0,-0.1
Malcolm Lee,-66.1,0.4,0.1,0,NA,NA
Bob Duffy,-67.4,0.3,0.1,0.1,NA,NA
Sean Higgins,-68.8,0.4,0.3,0,0,-0.1
Rusty LaRue,-69.4,0.3,0.3,0.1,-0.1,-0.1
Briante Weber,-72.1,0.4,0.3,0,NA,NA
Drew Barry,-72.4,0.3,0.2,0.1,NA,NA
