,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22,DNA,ABA,,2,3,0,,2,,2,3,,,0,5,,,,5,6
1976-77,23,DEN,NBA,,2,3,,,,,0,0,0,0,0,1,0,0,,0,4
Career,,,TOT,,2,3,,,2,,2,3,,,0,5,,,,5,6
,,,NBA,,2,3,,,,,0,0,0,0,0,1,0,0,,0,4
,,,ABA,,2,3,0,,2,,2,3,,,0,5,,,,5,6
,,,,,,,,,,,,,,,,,,,,,
