,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22,DNA,ABA,,6,,1,,,,5,5,,,,,,,,,17
1976-77,23,DEN,NBA,,4,,,,,,2,3,,,5,9,,,,,8
Career,,,TOT,,6,,,,,,5,5,,,,,,,,,17
,,,NBA,,4,,,,,,2,3,,,5,9,,,,,8
,,,ABA,,6,,1,,,,5,5,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,
