Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Roche,,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5
Matt Guokas,89.6,5.2,4.7,4.2,2.5,2.3,1.5,1.2,0.5
Chico Vaughn,89.1,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4
Ricky Davis,88.6,5,4.4,4.2,3,2.8,1.1,0.2,0.2
Jerry Sichting,88.0,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3
Bill Hanzlik,87.0,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1
Jodie Meeks,86.8,5.1,4.5,4.1,3.1,3,1.1,0.9,0.1
Bob Warren,86.7,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6
Lionel Hollins,84.7,5.2,4,3.4,2.9,2.3,1.8,0.6,0.1
Frank Selvy,84.6,5.5,4.1,3.6,2.4,2.3,0.6,-0.6,NA
Carlos Arroyo,84.4,4.7,3.7,2.8,2.7,2.5,1.3,0.4,0.3
