Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
John Roche,,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,NA,NA
Chico Vaughn,89.1,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA,NA
Jerry Sichting,86.8,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Bob Warren,86.7,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6,NA,NA
Frank Selvy,84.9,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA,NA
T.J. Ford,84.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA
Ted McClain,82.3,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA
Jodie Meeks,82.0,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Carlos Delfino,81.3,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA
George Senesky,81.3,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Dean Meminger,81.1,5,4.4,3.9,2.2,1,0.2,NA,NA,NA,NA
