Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jack Twyman,,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8
A.C. Green,94.0,9.4,9.3,8.8,8.6,7.9,7.7,7.6,6.7,6.1,4.4,3.3
Bob Dandridge,93.8,9.5,9.1,9,8.7,8.4,8.1,7,6.8,6,5.4,1.7
Antawn Jamison,92.8,9.2,9,8.5,8.2,8.1,6.8,6.7,6.4,5.4,2.3,1.4
Shareef Abdur-Rahim,92.3,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8
Jamaal Wilkes,92.1,10,8.5,8.3,7.7,7.4,7.3,6.9,6,5.1,3.3,0.9
Terry Cummings,91.8,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2,0
Alex English,91.8,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7,5.3,4,1.2
Otis Thorpe,91.5,10.4,9.8,9,8.9,8.7,8.5,8.1,6,5.6,4,3.8
Happy Hairston,91.4,9.3,9.2,8.8,7.2,7,7,6.5,5.3,5.1,4.2,0.4
Rasheed Wallace,91.4,11,9.7,9.3,8.9,8.5,7.6,7.1,6.4,6.2,5,2.3
