,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1955-56,21,ROC,NBA,,17,,11,14,,,6,40
1956-57,22,ROC,NBA,,13,,11,12,,,6,28
1957-58,23,CIN,NBA,,13,,12,13,,,6,34
1958-59,24,CIN,NBA,,22,,16,19,,,,50
1959-60,25,CIN,NBA,,21,,17,,,,6,59
1960-61,26,CIN,NBA,,17,,15,,,,,41
1961-62,27,CIN,NBA,,18,,11,,,,,39
1962-63,28,CIN,NBA,,15,,11,,,,,35
1963-64,29,CIN,NBA,,15,,14,15,,,,36
1964-65,30,CIN,NBA,,12,,8,9,,,,31
1965-66,31,CIN,NBA,,18,,7,7,,,,39
Career,,,,,22,,17,,,,,59
