Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Lee Davis,,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1
Jerome Whitehead,90.5,5.3,3.6,2.1,1.5,0.3,0.2,0.2,0.1
Joel Przybilla,89.1,4.7,4.3,2.3,1.9,0.6,0.3,0.1,0.1
George Peeples,85.0,4.1,3.2,2.1,1.5,0.2,0,NA,NA
Chris Dudley,83.5,4.1,3.4,2.2,2.2,1,0.2,0.1,0
Dan Gadzuric,81.0,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1
Chris Mihm,80.9,4,3.6,2.9,1.3,0.9,0.7,0.1,0
DeSagana Diop,79.8,4.1,3.8,3,1.4,1,0,-0.2,-0.3
Bryant Reeves,79.5,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA
Melvin Turpin,78.7,6,3.1,2.1,1.8,0.8,NA,NA,NA
Marc Jackson,78.2,4.6,2.6,2,1.3,1.2,0.7,0.6,NA
