Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Lee Davis,,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA,NA
George Peeples,85.0,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA,NA,NA
Chris Mihm,80.9,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA,NA,NA
Dan Gadzuric,80.2,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA,NA
Bryant Reeves,79.5,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA,NA,NA,NA,NA
DeSagana Diop,78.8,4.1,3.8,3,1.4,1,0.4,0,-0.1,-0.1,-0.2,-0.2,-0.3
Melvin Turpin,78.7,6,3.1,2.1,1.8,0.8,NA,NA,NA,NA,NA,NA,NA
Marc Jackson,78.2,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA,NA,NA
Jerome Whitehead,77.9,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1,NA
Fabricio Oberto,76.5,6.1,4.1,1.7,1.1,0.6,0,NA,NA,NA,NA,NA,NA
Jordan Hill,76.0,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0,NA,NA,NA,NA
