Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mickey Johnson,,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7
Nick Anderson,93.4,8.3,7.7,7.6,7.4,5.3,4.2,3.9,3.6,3.1,2.8,1.8,0
Jack Marin,92.5,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,NA
Tom Sanders,92.3,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3,3,2.4,0
Corey Maggette,91.6,8.6,8.1,7,6.9,6.3,5,3.9,3.4,3.3,3.3,3,2.6
Don Nelson,91.0,8.8,8.3,7.5,7.4,6.1,5.9,5.8,5.4,3.3,2.3,2.1,0.4
Bill Bridges,90.8,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6
Hedo Türkoğlu,90.4,9,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1
Grant Long,90.2,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,1.6,1.4
Tayshaun Prince,89.9,9.4,8,7.5,7.5,7,6.2,3.6,3.3,3.2,2.1,1.5,0.8
Jerome Kersey,89.8,8.8,8.6,6.8,6.8,6.7,6.4,3.6,3.4,3.2,2.5,2.4,2.2
