Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mychal Thompson,,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1
Caldwell Jones,93.7,8.1,7.6,6.2,5.5,5.2,5,4.4,4.1,3.9,3.1,2.5,0.9
Tree Rollins,90.5,9.2,7.3,6.4,6.4,5.5,5,4.9,4.1,3.8,3.4,2.6,1
Elden Campbell,90.2,8.2,7.6,7,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Red Kerr,89.8,8.7,7.8,7.7,5.8,5.4,5,4.9,4.6,3.9,3.8,3.1,0.9
James Donaldson,89.7,10.4,6.2,5.8,5.7,5.6,5.1,5,4.5,4.4,4.3,2.5,1.4
Rik Smits,88.2,7.8,7.2,6.6,6.1,5,4.3,3.8,3.4,3.4,3.3,2.9,2.7
Samuel Dalembert,87.3,6.9,6.9,6.2,5.2,4.9,4.1,4,3.9,3.6,2.9,2.2,0.3
Andrew Bogut,86.2,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4,2.6,1.7,0.7,0.5
Mike Gminski,85.7,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5,0.5
Byron Beck,85.3,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,NA,NA
