Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ron Harper,,10.2,7.2,6.3,6,5.7,5.6,4.2,4,3.9,3.5,2.9,2.4,1.8,1.2,0.9
Reggie Theus,90.1,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8,NA,NA
Doc Rivers,87.8,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4,3.9,2.2,2,1.5,NA,NA
Randy Smith,87.8,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.5,2.4,2.2,NA,NA,NA
José Calderón,87.5,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,1.8,0.9,0.9,0.6,0.3,NA
Dick Snyder,87.3,10,8,6.4,6.2,6.2,6,4.1,3.7,3.4,1.8,0.9,0.9,0.6,NA,NA
David Wesley,87.0,7.6,7,6.3,6.1,6.1,5.8,5.2,4.8,3.6,2.8,2.6,2.6,0.6,0.3,NA
Byron Scott,86.9,10.7,7.7,6.9,6.8,6.6,6,6,5.2,4.1,3.9,3.3,3.1,2.7,2.3,NA
Fred Brown,86.6,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,2.6,-0.9,NA,NA
George Hill,86.5,9.7,7.8,6.7,6.2,6.1,5.9,5.4,4,3.2,2.8,2.1,NA,NA,NA,NA
Don Buse,86.4,10.6,7.1,6,5.4,4.7,4.6,4.6,4.4,2.6,2.2,2,1.7,1.3,NA,NA
