Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Sonny Parker,,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA
Rich Jones,86.7,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2,NA,NA
Khris Middleton,84.7,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA
Chandler Parsons,84.3,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
Jay Vincent,83.5,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA
John Shumate,82.4,7.7,6.5,6.3,3.5,0.5,NA,NA,NA,NA,NA
Bob Kauffman,81.9,8,7.9,7.9,3.1,2,1.4,1.2,NA,NA,NA
Joe Ingles,81.5,7.6,6,5,2.3,2.2,NA,NA,NA,NA,NA
Jae Crowder,81.2,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA
Warren Davis,80.8,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA,NA
Kevin Gamble,80.7,8.3,6.7,6.6,3.4,2.1,1.9,1.8,1.6,1,-0.1
