Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Sonny Parker,,7,6.8,6.2,3,2.3,1.6
Khris Middleton,92.9,6.9,6.7,6.1,2.7,1.6,0.9
Wil Jones,90.4,7.4,6.9,6,4,2.3,0.6
Drew Gooden,89.9,8.5,6.6,6.5,3.3,1.9,1.7
Ryan Anderson,88.3,8.9,6.5,6.4,3.1,2.5,2.3
Ersan İlyasova,88.2,6.7,6.4,5.8,3.8,1.6,1
Anderson Varejão,88.1,8.1,8,6.6,3,2.4,2.3
Hedo Türkoğlu,87.8,7.6,6.7,5.2,3.4,2.8,2.6
Jay Vincent,87.8,6.5,6,5.6,3.4,1.9,1.1
Jae Crowder,87.3,7.3,6.7,3.9,2.6,2.3,1.5
Cazzie Russell,86.4,7.3,5.9,5.2,4.1,2.2,2
