Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
John Wall,,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2
Jon McGlocklin,92.5,8.9,8.2,7.9,5.8,5.2,3.8,1.8,1.1,0.9
Lucius Allen,91.2,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9
B.J. Armstrong,90.3,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3
Otis Birdsong,90.1,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6
Latrell Sprewell,90.1,8.1,8,6.6,5.5,5.1,4,3,2,0.4
Kenny Smith,89.4,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2
Brian Taylor,88.5,8.3,7.9,7.1,5.6,5.3,4.8,3.6,1.8,0.1
Alvin Robertson,88.4,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1
Sleepy Floyd,88.3,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2
Kirk Hinrich,87.7,10.1,7.6,7.2,4.1,4,3.6,3,2.6,1.8
