,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,23,SDR,NBA,,14,,,,,,11,11,,,18,7,,,,6,33
1971-72,24,TOT,NBA,,13,,,,,,9,14,,,,,,,,,26
1971-72,24,HOU,NBA,,4,,,,,,1,2,,,,,,,,,9
1971-72,24,ATL,NBA,,13,,,,,,9,14,,,,,,,,,26
1972-73,25,TOT,NBA,,13,,,,,,10,12,,,,,,,,,36
1972-73,25,ATL,NBA,,4,,,,,,3,4,,,,,,,,,8
1972-73,25,DET,NBA,,13,,,,,,10,12,,,,,,,,,36
1973-74,26,DET,NBA,,11,,,,,,9,10,,,,,,,,,25
1974-75,27,DET,NBA,,8,,,,,,4,9,,,,,,,,,19
1974-75,27,SSL,ABA,,9,,0,,,,4,5,,,,,,,,,20
1975-76,28,SSL,ABA,,12,,0,,,,6,8,,,,,,,,,28
1975-76,28,BUF,NBA,,10,,,,,,5,6,,,,,,,,,20
1976-77,29,BUF,NBA,,11,,,,,,7,9,,,,,,,,,28
Career,,,TOT,,14,,,,,,11,14,,,,,,,,,36
,,,NBA,,14,,,,,,11,14,,,,,,,,,36
,,,ABA,,12,,0,,,,6,8,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,DET,NBA,,13,,,,,,10,12,,,,,,,,,36
2 Seasons,,BUF,NBA,,11,,,,,,7,9,,,,,,,,,28
2 Seasons,,"HOU,SDR",NBA,,14,,,,,,11,11,,,,,,,,,33
2 Seasons,,ATL,NBA,,13,,,,,,9,14,,,,,,,,,26
2 Seasons,,SSL,ABA,,12,,0,,,,6,8,,,,,,,,,28
