Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Don Adams,,3.6,2.9,1.6,1.1,0.9,0.8,0.7
Mike Sanders,84.4,3.9,3.1,2.7,1.2,0.8,0.8,0.6
Darrell Arthur,84.2,3.8,2.3,1.7,1.7,0.9,0.7,0.3
Maurice Taylor,83.6,3.7,3.2,1.8,0.9,0.7,0.5,-0.3
Bill Willoughby,83.5,3,2.6,1.5,1.2,1.2,1.1,0.9
Corie Blount,83.0,2.6,2.5,1.7,1.2,0.9,0.8,0.7
Barry Clemens,81.4,3.5,2.8,1.8,1.7,0.9,0.1,0.1
Toby Kimball,81.0,3.2,2.5,2,1.2,1.2,0.4,0.2
Stacey King,80.8,3.6,3.1,1.9,1.5,0.9,0.1,-0.2
Chase Budinger,80.2,3.4,3.1,3,1.4,1.3,0.9,0.7
George Johnson,80.0,3.8,3.2,2.5,2.2,1,0.7,0.6
