,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,24,TOT,NBA,,5,13,,,,,7,8,,,12,5,,,,6,17
1971-72,24,ATL,NBA,,5,13,,,,,7,8,,,12,5,,,,6,17
1973-74,26,DET,NBA,,10,21,,,,,3,6,,,14,7,,,,5,23
1974-75,27,SSL,ABA,,8,,0,,,,4,6,,,,,,,,,17
1975-76,28,BUF,NBA,,8,12,,,,,3,4,,,5,3,,,,5,18
Career,,,TOT,,10,,,,,,7,8,,,,,,,,,23
,,,NBA,,10,21,,,,,7,8,,,14,7,,,,6,23
,,,ABA,,8,,0,,,,4,6,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,
1 Season,,SSL,ABA,,8,,0,,,,4,6,,,,,,,,,17
1 Season,,BUF,NBA,,8,12,,,,,3,4,,,5,3,,,,5,18
1 Season,,DET,NBA,,10,21,,,,,3,6,,,14,7,,,,5,23
1 Season,,ATL,NBA,,5,13,,,,,7,8,,,12,5,,,,6,17
