Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,32,GSW,NBA,C,62,NA,2463,5.5,12.4,0.444,3.4,5.1,0.666,4.5,11.3,15.7,3,0.7,3.2,3.2,14.4,NA,NA,95
1974-75,33,CHI,NBA,C,80,NA,2756,4.4,12,0.364,2.3,3.9,0.589,4.5,11.3,15.8,5.7,0.8,3.4,4.7,11,NA,NA,91
1975-76,34,TOT,NBA,C,78,NA,1393,4.8,11.5,0.421,2.1,4.2,0.504,3.9,10.2,14.1,3.2,0.7,3.3,5.4,11.8,NA,NA,94
1975-76,34,CHI,NBA,C,13,NA,260,3.7,8.3,0.444,1.5,3.3,0.444,2.6,10.5,13.1,4.8,0.7,2.2,2.8,8.8,NA,NA,96
1975-76,34,CLE,NBA,C,65,NA,1133,5.1,12.2,0.418,2.3,4.4,0.514,4.2,10.1,14.3,2.8,0.8,3.6,6,12.4,NA,NA,94
1976-77,35,CLE,NBA,C,49,NA,997,4.7,11.7,0.407,3.2,5,0.642,5.7,12,17.7,3.9,0.8,3.8,6.1,12.7,NA,NA,94
Career,NA,,NBA,,269,NA,7609,4.9,12,0.408,2.8,4.5,0.612,4.5,11.2,15.7,4.1,0.8,3.4,4.5,12.5,NA,NA,93
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,114,NA,2130,4.9,11.9,0.413,2.7,4.7,0.578,4.9,11,15.9,3.4,0.8,3.7,6.1,12.6,NA,NA,94
2 seasons,NA,CHI,NBA,,93,NA,3016,4.3,11.7,0.369,2.2,3.9,0.579,4.4,11.2,15.6,5.6,0.8,3.3,4.6,10.9,NA,NA,91
1 season,NA,GSW,NBA,,62,NA,2463,5.5,12.4,0.444,3.4,5.1,0.666,4.5,11.3,15.7,3,0.7,3.2,3.2,14.4,NA,NA,95
