Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1964-65,23,SFW,NBA,PF,1,0,10:00,0,2,0,0,0,NA,NA,3,0,NA,NA,1,0
1965-66,24,SFW,NBA,C,1,1,33:00,3,16,0.188,1,3,0.333,NA,16,1,NA,NA,1,7
1966-67,25,SFW,NBA,C,1,1,42:00,7,16,0.438,2,4,0.5,NA,18,0,NA,NA,1,16
1967-68,26,SFW,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-70,28,SFW,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-73,31,GSW,NBA,C,1,0,14:00,2,5,0.4,0,0,NA,NA,4,1,NA,NA,2,4
1973-74,32,GSW,NBA,C,1,0,5:00,2,4,0.5,0,1,0,1,3,0,0,0,0,4
Career,NA,,NBA,,5,2,104,14,43,0.326,3,8,0.375,1,44,2,0,0,5,31
