,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,22,SFW,NBA,,7,,5,8,,,,,,,6,16
1964-65,23,SFW,NBA,,14,29,9,12,,,37,6,,,6,32
1965-66,24,SFW,NBA,,16,,8,15,,,,,,,,36
1966-67,25,SFW,NBA,,13,,11,20,,,,,,,,34
1967-68,26,SFW,NBA,,15,26,16,19,,,33,11,,,6,37
1968-69,27,SFW,NBA,,17,33,12,17,,,34,9,,,5,41
1969-70,28,SFW,NBA,,15,28,12,14,,,30,8,,,6,36
1970-71,29,SFW,NBA,,18,,14,22,,,,,,,,43
1971-72,30,GSW,NBA,,17,,15,16,,,,,,,,42
1972-73,31,GSW,NBA,,17,,11,22,,,28,,,,,39
1973-74,32,GSW,NBA,,14,,8,13,,,,,,,,31
1974-75,33,CHI,NBA,,10,20,7,13,,,20,13,,,6,25
1975-76,34,TOT,NBA,,6,,5,7,,,,,,,,15
1975-76,34,CHI,NBA,,4,,3,5,,,,,,,,8
1975-76,34,CLE,NBA,,6,11,5,7,,,11,4,,,6,15
1976-77,35,CLE,NBA,,5,11,4,10,,,17,6,2,4,6,13
Career,,,,,18,,16,22,,,,,,,,43
11 Seasons,,"GSW,SFW",NBA,,18,,16,22,,,,,,,,43
2 Seasons,,CLE,NBA,,6,11,5,10,,,17,6,,,6,15
2 Seasons,,CHI,NBA,,10,,7,13,,,,,,,,25
