Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,22,SFW,NBA,PF,76,NA,1966,4,10.1,0.395,1.7,3.2,0.549,NA,NA,14.5,1.6,NA,NA,3.4,9.8
1964-65,23,SFW,NBA,PF,77,NA,3173,5.9,14.1,0.419,2.7,4.1,0.658,NA,NA,15.8,1.8,NA,NA,2.6,14.4
1965-66,24,SFW,NBA,C,73,NA,2891,5.7,13.9,0.406,3.5,5.3,0.654,NA,NA,16.3,1.4,NA,NA,2.8,14.8
1966-67,25,SFW,NBA,C,65,NA,2761,6.1,13.9,0.437,3.7,5.8,0.629,NA,NA,18,2.2,NA,NA,2.4,15.8
1967-68,26,SFW,NBA,C,51,NA,2222,6.2,15.1,0.411,4.6,7.1,0.644,NA,NA,18.2,3.5,NA,NA,2.2,16.9
1968-69,27,SFW,NBA,C,71,NA,3208,6.4,15.6,0.41,4.3,7,0.615,NA,NA,15.7,2.8,NA,NA,1.9,17.1
1969-70,28,SFW,NBA,C,43,NA,1919,6.4,15.5,0.414,4.9,6.5,0.754,NA,NA,14.3,2.8,NA,NA,2.1,17.7
1970-71,29,SFW,NBA,C,82,NA,3351,6.7,15.1,0.445,4.2,5.8,0.73,NA,NA,12.1,2.8,NA,NA,2.1,17.6
1971-72,30,GSW,NBA,C,78,NA,3362,6.7,15.6,0.432,4.5,6,0.743,NA,NA,13.4,2.5,NA,NA,2.3,17.9
1972-73,31,GSW,NBA,C,79,NA,3419,5.4,12.2,0.446,3.3,4.6,0.718,NA,NA,14.2,2.9,NA,NA,2.5,14.2
1973-74,32,GSW,NBA,C,62,NA,2463,4.5,10.1,0.444,2.8,4.2,0.666,3.6,9.2,12.8,2.4,0.6,2.6,2.6,11.8
1974-75,33,CHI,NBA,C,80,NA,2756,3.3,9,0.364,1.7,2.9,0.589,3.4,8.4,11.8,4.3,0.6,2.5,3.5,8.3
1975-76,34,TOT,NBA,C,78,NA,1393,3.7,8.7,0.421,1.6,3.2,0.504,3,7.8,10.7,2.4,0.6,2.5,4.1,8.9
1975-76,34,CHI,NBA,C,13,NA,260,2.8,6.2,0.444,1.1,2.5,0.444,1.9,7.9,9.8,3.6,0.6,1.7,2.1,6.6
1975-76,34,CLE,NBA,C,65,NA,1133,3.9,9.3,0.418,1.7,3.3,0.514,3.2,7.7,10.9,2.2,0.6,2.7,4.6,9.5
1976-77,35,CLE,NBA,C,49,NA,997,3.6,8.9,0.407,2.5,3.8,0.642,4.4,9.1,13.5,3,0.6,2.9,4.6,9.7
Career,NA,,NBA,,964,NA,35881,5.5,13.1,0.421,3.4,5.1,0.667,3.5,8.6,14.5,2.6,0.6,2.6,2.6,14.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"SFW,GSW",NBA,,757,NA,30735,5.9,13.9,0.425,3.7,5.4,0.676,3.6,9.2,15,2.4,0.6,2.6,2.4,15.5
2 seasons,NA,CLE,NBA,,114,NA,2130,3.8,9.1,0.413,2.1,3.6,0.578,3.8,8.4,12.1,2.6,0.6,2.8,4.6,9.6
2 seasons,NA,CHI,NBA,,93,NA,3016,3.2,8.7,0.369,1.7,2.9,0.579,3.3,8.4,11.6,4.2,0.6,2.5,3.4,8.1
