,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,22,SFW,NBA,,7,,9,11,,,,,,,5,17
1966-67,25,SFW,NBA,,10,21,8,11,,,31,7,,,6,24
1968-69,27,SFW,NBA,,11,22,6,11,,,28,8,,,5,27
1970-71,29,SFW,NBA,,9,,5,6,,,,,,,,23
1971-72,30,GSW,NBA,,13,,6,8,,,,,,,,32
1972-73,31,GSW,NBA,,10,21,7,8,,,26,6,,,6,23
1974-75,33,CHI,NBA,,3,6,5,10,,,13,5,,,5,9
1975-76,34,TOT,NBA,,6,10,3,7,6,10,16,6,3,6,6,13
1975-76,34,CLE,NBA,,6,10,3,7,6,10,16,6,3,6,6,13
1976-77,35,CLE,NBA,,0,0,0,0,0,1,1,0,0,1,0,0
Career,,,,,13,,9,11,,,,,,,,32
6 Seasons,,"GSW,SFW",NBA,,13,,9,11,,,,,,,,32
2 Seasons,,CLE,NBA,,6,10,3,7,6,10,16,6,3,6,6,13
1 Season,,CHI,NBA,,3,6,5,10,,,13,5,,,5,9
