Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nate Thurmond,,9.9,9,7.2,7.2,6.5,6.1,6,5.2,4.7,4.3,3.7,3.5,2.4,2.3
Marcus Camby,92.4,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.5,2.1,1.5,0.9
Alvan Adams,87.2,7.7,7.6,7.2,7.2,7,6.8,6.5,6.3,4.9,3.9,3.3,2.8,2.2,NA
Zydrunas Ilgauskas,85.5,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.9,2.5,2.5,0.7,0.5,NA
Al Jefferson,84.9,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,2.3,1.6
Billy Paultz,84.6,9,8.9,8.7,8.6,7,5.6,5.3,5.1,5,4,2.7,0.3,0.3,0.1
Vlade Divac,84.5,9.5,8.3,7.4,7.4,7.3,7.3,7.2,7,6.1,5.9,5.6,5.2,5,1.8
Brad Miller,84.4,10,9.6,9.1,8.6,8.3,6.5,5.1,4,3.8,3.4,3,2.7,2.1,0.2
Brook Lopez,81.6,9,7.9,7,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3,NA,NA,NA
Tyson Chandler,81.5,10.3,10,9.5,9.4,9.3,8.3,7.9,5.4,4.9,3.9,3.4,2.9,1.9,1.8
Joakim Noah,81.1,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,NA,NA
