Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1963-64,22,SFW,NBA,PF,76,1966,12.1,0.423,0.312,NA,NA,NA,NA,NA,NA,NA,-0.9,4.4,3.5,0.085,NA,NA,NA,NA,NA
1964-65,23,SFW,NBA,PF,77,3173,16.5,0.456,0.288,NA,NA,NA,7.1,NA,NA,NA,1,5.1,6.1,0.092,NA,NA,NA,NA,NA
1965-66,24,SFW,NBA,C,73,2891,15,0.454,0.382,NA,NA,NA,5,NA,NA,NA,0.3,4,4.3,0.072,NA,NA,NA,NA,NA
1966-67,25,SFW,NBA,C,65,2761,17.4,0.48,0.417,NA,NA,NA,7.5,NA,NA,NA,1.7,5.6,7.2,0.125,NA,NA,NA,NA,NA
1967-68,26,SFW,NBA,C,51,2222,19,0.466,0.471,NA,NA,NA,13,NA,NA,NA,0.5,4.7,5.2,0.112,NA,NA,NA,NA,NA
1968-69,27,SFW,NBA,C,71,3208,18.4,0.457,0.445,NA,NA,NA,11.6,NA,NA,NA,0.5,6.1,6.5,0.098,NA,NA,NA,NA,NA
1969-70,28,SFW,NBA,C,43,1919,18.2,0.483,0.42,NA,NA,NA,10.9,NA,NA,NA,0.7,3,3.7,0.093,NA,NA,NA,NA,NA
1970-71,29,SFW,NBA,C,82,3351,18.5,0.501,0.386,NA,NA,14.8,11.1,NA,NA,NA,3.8,3.4,7.2,0.103,NA,NA,NA,NA,NA
1971-72,30,GSW,NBA,C,78,3362,18.7,0.492,0.386,NA,NA,16.6,9.8,NA,NA,NA,2.6,6.4,9,0.128,NA,NA,NA,NA,NA
1972-73,31,GSW,NBA,C,79,3419,17.3,0.499,0.379,NA,NA,18,10.4,NA,NA,NA,3.2,6.7,9.9,0.14,NA,NA,NA,NA,NA
1973-74,32,GSW,NBA,C,62,2463,15,0.492,0.414,9.8,23.6,16.8,8.2,0.7,3.6,NA,2.6,3.4,6,0.117,NA,0.5,0.8,1.3,2.1
1974-75,33,CHI,NBA,C,80,2756,13.4,0.403,0.327,10,24.5,17.3,16.9,0.8,4,NA,-0.8,5.4,4.7,0.081,NA,-0.9,2.4,1.5,2.4
1975-76,34,TOT,NBA,C,78,1393,12,0.442,0.365,8.2,23,15.3,8.9,0.7,3.9,NA,0.2,2.2,2.4,0.082,NA,-1.7,1.6,-0.1,0.7
1975-76,34,CHI,NBA,C,13,260,11.4,0.454,0.4,5.1,23.7,13.8,14.1,0.7,2.6,NA,0.1,0.4,0.4,0.081,NA,-0.8,1.7,1,0.2
1975-76,34,CLE,NBA,C,65,1133,12.1,0.441,0.36,8.9,22.8,15.6,7.7,0.8,4.2,NA,0.1,1.9,1.9,0.082,NA,-2,1.6,-0.3,0.5
1976-77,35,CLE,NBA,C,49,997,14.3,0.458,0.431,11.9,26.7,19.1,10.8,0.8,4.4,NA,0.5,1.8,2.3,0.113,NA,-1,2,1,0.8
Career,NA,,NBA,,964,35881,16.5,0.47,0.388,9.8,24.2,16.7,10,0.8,3.9,NA,15.8,62.2,78,0.104,NA,-0.6,1.7,1.1,5.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"SFW,GSW",NBA,,757,30735,17.1,0.475,0.392,9.8,23.6,16.5,9.4,0.7,3.6,NA,15.8,52.8,68.6,0.107,NA,0.5,0.8,1.3,2.1
2 seasons,NA,CLE,NBA,,114,2130,13.1,0.449,0.392,10.3,24.6,17.2,9.2,0.8,4.3,NA,0.6,3.7,4.3,0.097,NA,-1.5,1.8,0.3,1.2
2 seasons,NA,CHI,NBA,,93,3016,13.2,0.406,0.331,9.5,24.5,17,16.6,0.8,3.9,NA,-0.7,5.8,5.1,0.081,NA,-0.9,2.3,1.4,2.6
