Season,Team,Lg,Salary
1988-89,Los Angeles Clippers,NBA,"$1,650,000"
1989-90,Los Angeles Clippers,NBA,"$2,100,000"
1990-91,Los Angeles Clippers,NBA,"$2,200,000"
1991-92,Los Angeles Clippers,NBA,"$2,300,000"
1992-93,Los Angeles Clippers,NBA,"$2,600,000"
1993-94,Los Angeles Clippers,NBA,"$3,250,000"
1994-95,Phoenix Suns,NBA,"$1,000,000"
1995-96,Phoenix Suns,NBA,"$6,833,000"
1996-97,Phoenix Suns,NBA,"$6,833,000"
1997-98,Phoenix Suns,NBA,"$6,833,333"
1998-99,Phoenix Suns,NBA,"$6,833,000"
1999-00,Milwaukee Bucks,NBA,"$6,833,333"
2000-01,Milwaukee Bucks,NBA,"$6,830,000"
2000-01,Utah Jazz,NBA,"$1,200,000"
2001-02,Dallas Mavericks,NBA,"$1,500,000"
2002-03,Dallas Mavericks,NBA,"$900,000"
Career,(may be incomplete),,"$59,695,666"
