Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Danny Manning,,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1,0.8,0.7,0.4,0.2
Johnny Green,91.1,9.5,8.4,5.6,5.3,5.1,5.1,3.8,3.7,2.6,2.4,2.3,1.7,1.5,1.2,NA
Udonis Haslem,91.0,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4,0.2,-0.1
Jermaine O'Neal,89.1,10.5,9,6.4,6.4,5.6,4.9,4.7,3.8,2.6,2.1,1.2,0.9,0.8,0.8,0.6
Steve Mix,89.0,9.4,8.2,6.5,5.5,5.5,5.1,5.1,4.9,3.7,2.4,1.3,0.4,-0.3,NA,NA
Josh Smith,89.0,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0,0,NA,NA
Donyell Marshall,88.8,10.4,8.5,6,6,5,4.2,4.2,3.8,3.8,3,1.3,1.3,0.8,0.3,0.3
Tyrone Hill,87.5,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6,0.1,NA
Orlando Woolridge,87.5,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,NA,NA
Greg Ballard,87.3,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0,NA,NA,NA,NA
Scott Wedman,87.2,8.6,7.8,7.1,6,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1,NA,NA
