Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Nemanja Bjelica,,4.5,2.8,1.9,1.5,NA,NA
Bob Doll,91.7,4,2.8,1.8,1.6,NA,NA
Collis Jones,90.1,4.2,3.2,2.1,1.2,NA,NA
Kyle Singler,87.5,4.4,2.3,2,1.1,0.3,0
Frank Card,87.0,4.2,2.6,2.4,1.9,0.1,NA
Bill Garnett,87.0,3.9,3.5,2,1.5,NA,NA
Reggie Johnson,86.7,3.9,3,2.4,1.6,NA,NA
Billy Thompson,84.7,3.6,2.8,1.7,1.6,0,-0.1
Rondae Hollis-Jefferson,84.3,4.1,2.6,1.2,1.2,NA,NA
Anthony Bonner,84.2,4.1,2.4,1.8,1.6,0.7,0
Harold Pressley,84.2,4.8,2.3,2.2,0.7,NA,NA
