Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Nemanja Bjelica,,4.5,2.8,1.9,1.5
Jonas Jerebko,93.5,4.4,3.3,2,1.4
David Benoit,92.8,4.6,2.3,2,1.6
Bob Doll,91.7,4,2.8,1.8,1.6
James Bailey,90.5,4.9,2.9,2,1
John Brown,90.2,4.2,2.6,2.3,1.7
Collis Jones,90.1,4.2,3.2,2.1,1.2
Kyle Singler,90.0,4.4,2.3,2,1.1
Jeff Cook,89.8,4.5,2.4,2.2,2
Ron Behagen,89.1,4.3,2.2,2,1.8
Danny Fortson,89.0,4.4,3.5,1.9,1.1
