Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Anthony Bowie,,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
Haywoode Workman,87.4,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA,NA,NA,NA,NA,NA,NA
Wes Matthews,87.1,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,NA,NA,NA,NA,NA,NA
Mike Bratz,84.8,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA,NA,NA,NA,NA
Garrett Temple,83.6,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4,NA,NA,NA,NA,NA,NA
John Crotty,82.9,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1,NA,NA,NA,NA
David Wingate,82.0,2.4,2.3,1.9,1.7,1.4,1,0.6,0.4,0.3,0.2,0.1,0.1,0,-0.1,-0.5
Jordan Clarkson,81.3,3,2.4,2.1,1.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Pack,80.2,3.1,2.7,2.2,1.7,1.1,1.1,1.1,0.7,0.6,0.4,0.1,0.1,-0.6,NA,NA
Gary Neal,79.8,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA,NA,NA,NA,NA,NA
Quintin Dailey,79.7,3.7,2.6,2.1,2,1.3,1,0.3,0.1,-0.3,-0.3,NA,NA,NA,NA,NA
