Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dave Meyers,,5,3.9,2.4,2.2
Ollie Johnson,93.9,4.8,4.1,2.6,2
Glen Davis,93.5,4.9,3.7,2.5,1.6
Gus Johnson,91.9,5,3.5,2.2,1.6
Ed Conlin,91.3,4.7,4.3,2,2
Kenny Thomas,91.3,4.6,4.4,2.2,2.2
Charlie Villanueva,90.9,4.9,3.9,1.7,1.7
Clyde Lee,90.7,5.1,3.5,3.1,2.1
Gerald Govan,90.5,5.6,4.1,2.6,2.5
Corey Maggette,90.5,5,3.9,3.3,2.6
Vladimir Radmanović,90.4,4.2,3.7,2.7,2.1
