Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dave Meyers,,5,3.9,2.4,2.2,NA,NA,NA
Walt Budko,88.6,5.6,4,2.7,1.5,NA,NA,NA
Tom Boswell,86.4,5.6,3.7,2.7,2.4,0.6,0.2,NA
Richaun Holmes,85.3,4.3,3.8,2.8,1.5,NA,NA,NA
Andrew Wiggins,85.0,4.2,4.1,2.1,2.1,0.6,NA,NA
Jared Sullinger,83.7,4.8,4,3.9,2.7,-0.1,NA,NA
Ed Conlin,83.5,4.7,4.3,2,2,0.7,0.5,-0.1
Tom Abernethy,83.0,4.1,3.7,3.1,2,0.4,NA,NA
Monk Meineke,82.6,6.1,3.7,2.6,1.8,0.7,NA,NA
Fred Hetzel,82.5,5.1,4.5,2.9,2,0.9,0.5,NA
Bob Harris,81.8,5,4.3,3.4,1.9,1,NA,NA
