Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Chris Douglas-Roberts,,2.4,1.6,0.7,0.6,0.1,0
Travis Diener,91.7,2.5,1.9,0.7,0.6,0,NA
Bo Lamar,87.8,2.5,1.5,1,0.5,NA,NA
Maurice McHartley,83.2,2.4,1.8,0.8,NA,NA,NA
Marcus Banks,83.1,2.3,1.9,0.8,0.7,0.4,0
Jeff Judkins,82.9,3,1.8,0.7,0.6,0.2,NA
Mike Davis,82.8,2.2,1.2,0.9,0.6,NA,NA
David Nwaba,82.3,2.4,1.4,0.8,NA,NA,NA
Robert Smith,81.3,2.9,1.4,0.8,0.6,0,0
Si Green,81.1,2.6,1.6,1,0.8,0.4,NA
Mike Holton,79.2,2.3,1.3,0.8,0.3,0.2,-0.2
