Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chris Douglas-Roberts,,2.4,1.6,0.7,0.6,0.1,0,NA
Travis Diener,91.7,2.5,1.9,0.7,0.6,0,NA,NA
Bo Lamar,87.8,2.5,1.5,1,0.5,NA,NA,NA
Maurice McHartley,83.2,2.4,1.8,0.8,NA,NA,NA,NA
Jeff Judkins,82.9,3,1.8,0.7,0.6,0.2,NA,NA
Mike Davis,82.8,2.2,1.2,0.9,0.6,NA,NA,NA
David Nwaba,82.3,2.4,1.4,0.8,NA,NA,NA,NA
Robert Smith,80.8,2.9,1.4,0.8,0.6,0,0,0
Mike Holton,79.2,2.3,1.3,0.8,0.3,0.2,-0.2,NA
Hollis Thompson,79.2,2.6,2,1.2,0.7,NA,NA,NA
Glenn Robinson,78.8,2.5,0.8,0.7,0.6,0.1,NA,NA
