Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Anthony Bonner,,4.1,2.4,1.8,1.6,0.7,0
Bob Doll,89.0,4,2.8,1.8,1.6,NA,NA
Derek Strong,88.8,4.1,2.4,2.1,1.9,1.5,0
Brian Skinner,86.4,4.1,2.7,1.9,0.9,0.3,0.1
Darren Daye,86.1,3.8,2.4,1.3,1.2,0.6,NA
Frank Card,85.7,4.2,2.6,2.4,1.9,0.1,NA
Bruce Bowen,85.4,4.2,2.2,1.9,1.2,0,0
Kyle Singler,85.2,4.4,2.3,2,1.1,0.3,0
Stacey King,85.0,3.6,3.1,1.9,1.5,0.9,0.1
Derrek Dickey,84.7,3.8,3.1,2.3,1.7,0.3,NA
Scott Williams,84.5,3.9,3.1,2.3,1.7,0.9,0.3
