Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Anthony Bonner,,4.1,2.4,1.8,1.6,0.7,0,NA,NA
Bob Doll,89.0,4,2.8,1.8,1.6,NA,NA,NA,NA
Darren Daye,86.1,3.8,2.4,1.3,1.2,0.6,NA,NA,NA
Frank Card,85.7,4.2,2.6,2.4,1.9,0.1,NA,NA,NA
Kyle Singler,85.2,4.4,2.3,2,1.1,0.3,0,NA,NA
Derrek Dickey,84.7,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
Nemanja Bjelica,84.2,4.5,2.8,1.9,1.5,NA,NA,NA,NA
Stacey King,83.7,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
Dave Budd,83.5,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
Bobby Portis,82.7,3.5,2.4,1.6,1.5,NA,NA,NA,NA
Josh Boone,82.6,3.7,1.8,1.8,1.7,NA,NA,NA,NA
