Season,Team,Lg,Salary
1991-92,Sacramento Kings,NBA,"$568,000"
1992-93,Sacramento Kings,NBA,"$763,000"
1993-94,New York Knicks,NBA,"$650,000"
1994-95,New York Knicks,NBA,"$845,000"
Career,(may be incomplete),,"$2,826,000"
