Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Willie Green,,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0,-0.1,-0.1,-0.7
Marko Jarić,79.8,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,NA,NA,NA,NA,NA
Iman Shumpert,77.5,2.4,2,2,1.9,1.7,1.5,1.4,0,NA,NA,NA,NA
John Crotty,76.2,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1,NA
Clint Richardson,75.3,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA,NA
Mike McGee,74.3,3.2,3,2.8,2.3,1.9,1.1,0.4,0.2,0.2,NA,NA,NA
Garrett Temple,74.0,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4,NA,NA,NA
David Wingate,73.9,2.4,2.3,1.9,1.7,1.4,1,0.6,0.4,0.3,0.2,0.1,-0.5
Steve Colter,72.9,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,NA,NA,NA,NA
Mike Bratz,72.8,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA,NA
Rod Thorn,70.8,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA,NA
