Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,29,NOB,ABA,SF,17,NA,42.1,8.5,20.4,0.416,0.2,0.6,0.364,8.2,19.7,0.418,0.422,6.3,8.8,0.718,NA,NA,9.9,2.4,NA,3.2,4.2,23.5
1968-69,30,OAK,ABA,SF,16,NA,37.1,7.2,17.8,0.405,0,0.3,0,7.2,17.5,0.411,0.405,5.4,6.9,0.784,NA,NA,7.8,1.9,NA,2.7,4.2,19.8
1969-70,31,CAR,ABA,SF,4,NA,42,6.3,19,0.329,0,1,0,6.3,18,0.347,0.329,3,4,0.75,NA,NA,6.5,6.3,NA,NA,4.8,15.5
1970-71,32,VIR,ABA,SF,12,NA,35.1,7.5,14.8,0.508,0.1,0.3,0.333,7.4,14.5,0.511,0.511,2.6,3.4,0.756,1.8,2.9,4.8,3.1,NA,1.4,3.6,17.7
1971-72,33,VIR,ABA,SF,11,NA,22.3,3.4,7.7,0.435,0,0.1,0,3.4,7.6,0.44,0.435,2,2.3,0.88,NA,NA,3.9,2.5,NA,2.3,3.6,8.7
Career,NA,,ABA,,60,NA,35.7,6.9,16.1,0.425,0.1,0.4,0.217,6.8,15.8,0.43,0.427,4.3,5.7,0.757,1.8,2.9,7,2.7,NA,2.5,4,18.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,VIR",ABA,,39,NA,32.3,6.2,14,0.443,0,0.2,0.125,6.2,13.8,0.448,0.444,3.6,4.5,0.791,1.8,2.9,5.7,2.4,NA,2.2,3.8,16
1 season,NA,NOB,ABA,,17,NA,42.1,8.5,20.4,0.416,0.2,0.6,0.364,8.2,19.7,0.418,0.422,6.3,8.8,0.718,NA,NA,9.9,2.4,NA,3.2,4.2,23.5
1 season,NA,CAR,ABA,,4,NA,42,6.3,19,0.329,0,1,0,6.3,18,0.347,0.329,3,4,0.75,NA,NA,6.5,6.3,NA,NA,4.8,15.5
