Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,29,NOB,ABA,SF,17,NA,715,144,346,0.416,4,11,0.364,140,335,0.418,0.422,107,149,0.718,NA,NA,169,40,NA,54,71,399
1968-69,30,OAK,ABA,SF,16,NA,593,115,284,0.405,0,4,0,115,280,0.411,0.405,87,111,0.784,NA,NA,124,31,NA,43,67,317
1969-70,31,CAR,ABA,SF,4,NA,168,25,76,0.329,0,4,0,25,72,0.347,0.329,12,16,0.75,NA,NA,26,25,NA,NA,19,62
1970-71,32,VIR,ABA,SF,12,NA,421,90,177,0.508,1,3,0.333,89,174,0.511,0.511,31,41,0.756,22,35,57,37,NA,17,43,212
1971-72,33,VIR,ABA,SF,11,NA,245,37,85,0.435,0,1,0,37,84,0.44,0.435,22,25,0.88,NA,NA,43,27,NA,25,40,96
Career,NA,,ABA,,60,NA,2142,411,968,0.425,5,23,0.217,406,945,0.43,0.427,259,342,0.757,22,35,419,160,NA,139,240,1086
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,VIR",ABA,,39,NA,1259,242,546,0.443,1,8,0.125,241,538,0.448,0.444,140,177,0.791,22,35,224,95,NA,85,150,625
1 season,NA,NOB,ABA,,17,NA,715,144,346,0.416,4,11,0.364,140,335,0.418,0.422,107,149,0.718,NA,NA,169,40,NA,54,71,399
1 season,NA,CAR,ABA,,4,NA,168,25,76,0.329,0,4,0,25,72,0.347,0.329,12,16,0.75,NA,NA,26,25,NA,NA,19,62
