Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,29,NOB,ABA,SF,17,715,17.1,0.485,0.032,0.431,NA,NA,10.4,9,NA,11.6,24.3,NA,0.6,1,1.6,0.11
1968-69,30,OAK,ABA,SF,16,593,14.1,0.476,0.014,0.391,NA,NA,8.7,7.1,NA,11.4,21.5,NA,0.2,0.7,1,0.08
1969-70,31,CAR,ABA,SF,4,168,11.4,0.373,0.053,0.211,NA,NA,7,20.6,NA,NA,NA,NA,-0.5,0.2,-0.3,-0.08
1970-71,32,VIR,ABA,SF,12,421,15.9,0.543,0.017,0.232,NA,NA,NA,11.6,NA,8,NA,NA,0.7,0.3,1,0.112
1971-72,33,VIR,ABA,SF,11,245,9.7,0.5,0.012,0.294,NA,NA,8.1,13.3,NA,20.7,18.4,NA,0.1,0.4,0.5,0.089
Career,NA,,ABA,,60,2142,14.7,0.485,0.024,0.353,NA,NA,9.2,10.4,NA,11.8,22.3,NA,1.2,2.6,3.8,0.085
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,VIR",ABA,,39,1259,13.8,0.501,0.015,0.324,NA,NA,8.5,9.8,NA,12,20.6,NA,1.1,1.4,2.4,0.092
1 season,NA,NOB,ABA,,17,715,17.1,0.485,0.032,0.431,NA,NA,10.4,9,NA,11.6,24.3,NA,0.6,1,1.6,0.11
1 season,NA,CAR,ABA,,4,168,11.4,0.373,0.053,0.211,NA,NA,7,20.6,NA,NA,NA,NA,-0.5,0.2,-0.3,-0.08
