Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,29,NOB,ABA,SF,78,NA,39.9,8.5,20.6,0.413,0,0.3,0.136,8.5,20.4,0.417,0.414,7.1,8.9,0.795,3.2,7,10.2,2.6,NA,2.6,3.6,24.2
1968-69,30,OAK,ABA,SF,75,NA,33.7,7.1,16.4,0.431,0.1,0.2,0.357,7,16.2,0.432,0.433,4.8,5.9,0.811,3.3,4.9,8.2,2,NA,2.4,3.5,19
1969-70,31,CAR,ABA,SF,80,NA,33.4,6.7,15.7,0.427,0.1,0.4,0.235,6.6,15.3,0.432,0.43,3.8,5,0.762,1.8,3.7,5.5,5.3,NA,3.3,3.5,17.3
1970-71,32,VIR,ABA,SF,78,NA,29.4,5.1,11.2,0.456,0,0.1,0.2,5.1,11,0.459,0.457,2.8,3.3,0.853,2.2,3.8,6.1,3.5,NA,2.3,3.6,13
1971-72,33,VIR,ABA,SF,67,NA,22,2.6,6.2,0.422,0,0.1,0.111,2.6,6.1,0.429,0.423,1.6,1.9,0.806,1.2,2.4,3.6,2.2,NA,1.7,2.6,6.8
Career,NA,,ABA,,378,NA,32,6.1,14.2,0.428,0.1,0.2,0.213,6,14,0.432,0.43,4.1,5.1,0.8,2.4,4.4,6.8,3.2,NA,2.5,3.4,16.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,VIR",ABA,,220,NA,28.6,5,11.4,0.438,0,0.2,0.242,5,11.3,0.441,0.44,3.1,3.8,0.823,2.3,3.7,6,2.6,NA,2.2,3.3,13.2
1 season,NA,CAR,ABA,,80,NA,33.4,6.7,15.7,0.427,0.1,0.4,0.235,6.6,15.3,0.432,0.43,3.8,5,0.762,1.8,3.7,5.5,5.3,NA,3.3,3.5,17.3
1 season,NA,NOB,ABA,,78,NA,39.9,8.5,20.6,0.413,0,0.3,0.136,8.5,20.4,0.417,0.414,7.1,8.9,0.795,3.2,7,10.2,2.6,NA,2.6,3.6,24.2
