Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,29,NOB,ABA,SF,78,3113,21.2,0.492,0.014,0.43,NA,NA,10.9,10.2,NA,9.4,24.9,NA,5.1,4.2,9.4,0.144
1968-69,30,OAK,ABA,SF,75,2528,16.8,0.5,0.011,0.362,NA,NA,10.7,8,NA,11.3,21.7,NA,2.6,2.2,4.8,0.091
1969-70,31,CAR,ABA,SF,80,2671,16.6,0.483,0.027,0.318,NA,NA,7.6,24.3,NA,15.6,24.1,NA,1.6,3.6,5.2,0.093
1970-71,32,VIR,ABA,SF,78,2297,13.3,0.516,0.011,0.297,NA,NA,9.4,14.4,NA,15.7,17.9,NA,2.1,2.2,4.3,0.09
1971-72,33,VIR,ABA,SF,67,1472,8.5,0.482,0.022,0.311,4.8,9.6,7.2,12,NA,19.2,14.3,NA,0.2,1.6,1.8,0.058
Career,NA,,ABA,,378,12081,16.2,0.495,0.017,0.358,4.8,9.6,9.4,13.9,NA,13.1,21.4,NA,11.6,13.9,25.5,0.101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,VIR",ABA,,220,6297,13.6,0.503,0.013,0.331,4.8,9.6,9.4,11.3,NA,14.2,18.6,NA,4.9,6,10.9,0.083
1 season,NA,CAR,ABA,,80,2671,16.6,0.483,0.027,0.318,NA,NA,7.6,24.3,NA,15.6,24.1,NA,1.6,3.6,5.2,0.093
1 season,NA,NOB,ABA,,78,3113,21.2,0.492,0.014,0.43,NA,NA,10.9,10.2,NA,9.4,24.9,NA,5.1,4.2,9.4,0.144
